Origine;NomOrigine;Destination;NomDestination;Distance
1;Tanganyika;2;Mongala;1212850,186
1;Tanganyika;3;Sankuru;613568,9606
1;Tanganyika;4;Haut-Katanga;430979,0944
1;Tanganyika;5;Lualaba;596677,1658
1;Tanganyika;6;Kinshasa;1382108,979
1;Tanganyika;7;Nord-Ubangi;1400330,025
1;Tanganyika;8;Tshuapa;967960,7385
1;Tanganyika;9;Sud-Kivu;370564,6741
1;Tanganyika;10;Tshopo;847763,6084
1;Tanganyika;11;Kongo-Central;1544230,363
1;Tanganyika;12;Ituri;931440,8493
1;Tanganyika;13;Kasai;806260,8295
1;Tanganyika;14;Bas-Uele;1177622,702
1;Tanganyika;15;Lomami;391764,7323
1;Tanganyika;16;Kasai-Oriental;520192,0125
1;Tanganyika;17;Kwilu;1075918,402
1;Tanganyika;18;Mai-Ndombe;1155577,27
1;Tanganyika;19;Maniema;432954,4239
1;Tanganyika;20;Kwango;1143396,942
1;Tanganyika;21;Haut-Uele;1097362,631
1;Tanganyika;22;Sud-Ubangi;1451952,765
1;Tanganyika;23;Kasai-Central;633215,708
1;Tanganyika;24;Equateur;1276054,593
1;Tanganyika;25;Haut-Lomami;357271,436
1;Tanganyika;26;Nord-Kivu;661744,6684
2;Mongala;1;Tanganyika;1212850,186
2;Mongala;3;Sankuru;659329,3888
2;Mongala;4;Haut-Katanga;1554351,596
2;Mongala;5;Lualaba;1346045,207
2;Mongala;6;Kinshasa;954318,0931
2;Mongala;7;Nord-Ubangi;202016,0089
2;Mongala;8;Tshuapa;307147,5738
2;Mongala;9;Sud-Kivu;953377,1274
2;Mongala;10;Tshopo;448201,0483
2;Mongala;11;Kongo-Central;1143649,136
2;Mongala;12;Ituri;889027,1381
2;Mongala;13;Kasai;780529,8618
2;Mongala;14;Bas-Uele;437695,556
2;Mongala;15;Lomami;984433,0136
2;Mongala;16;Kasai-Oriental;938966,0963
2;Mongala;17;Kwilu;824436,7844
2;Mongala;18;Mai-Ndombe;625087,5953
2;Mongala;19;Maniema;791714,5855
2;Mongala;20;Kwango;1026778,561
2;Mongala;21;Haut-Uele;799077,654
2;Mongala;22;Sud-Ubangi;264043,3611
2;Mongala;23;Kasai-Central;926709,3939
