Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-03-30;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;1849
2020-03-30;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;369
2020-03-30;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;369
2020-03-30;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;1109
2020-03-30;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;2958
2020-03-30;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;739
2020-03-30;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Haut-Katanga;739
2020-03-30;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Lualaba;369
2020-03-30;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1849
2020-03-30;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;1109
2020-03-30;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;2646
2020-03-30;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;1031
2020-03-30;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Lomami;369
2020-03-30;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;661
2020-03-30;06:00:00;JO;Kasai-Central;Entree;Hors_Zone;Kasai-Oriental;7741
2020-03-30;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Central;7741
2020-03-30;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;16144
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;1323
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Lomami;661
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Hors_Zone;1323
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;9263
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;2646
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;2646
2020-03-30;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Lomami;5293
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;661
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Kasai-Oriental;7741
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Lomami;661
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Central;Kasai-Central;7741
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Hors_Zone;661
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;15020
2020-03-30;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;1323
