Period;Day_type;Hour;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
202002;JO;06:00:00;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;93307
202002;JO;06:00:00;Haut-Katanga;Entree;Haut-Katanga;Hors_Zone;1623
202002;JO;06:00:00;Haut-Katanga;Entree;Haut-Katanga;Kasai-Oriental;326
202002;JO;06:00:00;Haut-Katanga;Entree;Haut-Katanga;Lualaba;37659
202002;JO;06:00:00;Haut-Katanga;Entree;Hors_Zone;Haut-Katanga;4320
202002;JO;06:00:00;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;7602
202002;JO;06:00:00;Haut-Katanga;Entree;Hors_Zone;Lualaba;1999
202002;JO;06:00:00;Haut-Katanga;Entree;Kinshasa;Kinshasa;21756
202002;JO;06:00:00;Haut-Katanga;Entree;Lualaba;Haut-Katanga;13887
202002;JO;06:00:00;Haut-Katanga;Entree;Lualaba;Lualaba;29795
202002;JO;06:00:00;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;63154
202002;JO;06:00:00;Haut-Katanga;Sortie;Haut-Katanga;Hors_Zone;247
202002;JO;06:00:00;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;9771
202002;JO;06:00:00;Haut-Katanga;Sortie;Haut-Lomami;Haut-Lomami;751
202002;JO;06:00:00;Haut-Katanga;Sortie;Hors_Zone;Haut-Katanga;4884
202002;JO;06:00:00;Haut-Katanga;Sortie;Hors_Zone;Hors_Zone;5864
202002;JO;06:00:00;Haut-Katanga;Sortie;Hors_Zone;Kinshasa;255
202002;JO;06:00:00;Haut-Katanga;Sortie;Hors_Zone;Lualaba;2693
202002;JO;06:00:00;Haut-Katanga;Sortie;Lomami;Kasai-Oriental;239
202002;JO;06:00:00;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;18323
202002;JO;06:00:00;Haut-Katanga;Sortie;Lualaba;Hors_Zone;249
202002;JO;06:00:00;Haut-Katanga;Sortie;Lualaba;Lualaba;72119
202002;JO;06:00:00;Haut-Lomami;Entree;Haut-Lomami;Haut-Lomami;9320
202002;JO;06:00:00;Haut-Lomami;Entree;Haut-Lomami;Hors_Zone;788
202002;JO;06:00:00;Haut-Lomami;Entree;Haut-Lomami;Kasai;1254
202002;JO;06:00:00;Haut-Lomami;Entree;Haut-Lomami;Lomami;2790
202002;JO;06:00:00;Haut-Lomami;Entree;Hors_Zone;Haut-Katanga;326
202002;JO;06:00:00;Haut-Lomami;Entree;Hors_Zone;Haut-Lomami;1125
202002;JO;06:00:00;Haut-Lomami;Entree;Hors_Zone;Hors_Zone;26101
202002;JO;06:00:00;Haut-Lomami;Entree;Hors_Zone;Kasai;11410
202002;JO;06:00:00;Haut-Lomami;Entree;Hors_Zone;Kasai-Oriental;251
202002;JO;06:00:00;Haut-Lomami;Entree;Hors_Zone;Lomami;255
202002;JO;06:00:00;Haut-Lomami;Entree;Kasai;Haut-Lomami;251
202002;JO;06:00:00;Haut-Lomami;Entree;Kasai;Kasai;28067
202002;JO;06:00:00;Haut-Lomami;Entree;Kasai-Oriental;Kasai-Oriental;566
202002;JO;06:00:00;Haut-Lomami;Entree;Lomami;Haut-Lomami;542
202002;JO;06:00:00;Haut-Lomami;Entree;Lomami;Hors_Zone;1097
202002;JO;06:00:00;Haut-Lomami;Entree;Lomami;Lomami;14921
202002;JO;06:00:00;Haut-Lomami;Sortie;Haut-Lomami;Haut-Lomami;7565
202002;JO;06:00:00;Haut-Lomami;Sortie;Haut-Lomami;Hors_Zone;717
202002;JO;06:00:00;Haut-Lomami;Sortie;Haut-Lomami;Lomami;1110
202002;JO;06:00:00;Haut-Lomami;Sortie;Hors_Zone;Haut-Lomami;968
202002;JO;06:00:00;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;2615
202002;JO;06:00:00;Haut-Lomami;Sortie;Hors_Zone;Lomami;566
202002;JO;06:00:00;Haut-Lomami;Sortie;Kasai;Hors_Zone;16817
202002;JO;06:00:00;Haut-Lomami;Sortie;Kasai;Kasai;95829
202002;JO;06:00:00;Haut-Lomami;Sortie;Kinshasa;Kinshasa;5307
