Period;Day_type;NightZone;DayZone;Home_Category;Activity_Category;Type;Volume
202002;JO;Bas-Uele;Bas-Uele;4;4;Local;40673
202002;JO;Bas-Uele;Bas-Uele;4;Outside_Worker;Local;2876
202002;JO;Bas-Uele;Bas-Uele;4;Home_Activity_Zone_Worker;Local;1563
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;4;Local;11499
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Outside_Worker;Etranger;62
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Outside_Worker;Local;316556
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Home_Activity_Zone_Worker;Etranger;65
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Home_Activity_Zone_Worker;Local;174093
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;4;Local;3031
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Outside_Worker;Local;41702
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;Local;918278
202002;JO;Bas-Uele;Haut-Uele;Outside_Resident;Outside_Worker;Local;203
202002;JO;Bas-Uele;Haut-Uele;Outside_Resident;Home_Zone_Worker;Local;100
202002;JO;Bas-Uele;Haut-Uele;Home_Zone_Resident;Home_Zone_Worker;Local;292
202002;JO;Bas-Uele;Inconnue;4;4;Local;6922
202002;JO;Bas-Uele;Inconnue;4;Outside_Worker;Local;845
202002;JO;Bas-Uele;Inconnue;4;Home_Zone_Worker;Local;95
202002;JO;Bas-Uele;Inconnue;Outside_Resident;4;Local;1996
202002;JO;Bas-Uele;Inconnue;Outside_Resident;Outside_Worker;Etranger;26
202002;JO;Bas-Uele;Inconnue;Outside_Resident;Outside_Worker;Local;89885
202002;JO;Bas-Uele;Inconnue;Outside_Resident;Home_Zone_Worker;Local;20599
202002;JO;Bas-Uele;Inconnue;Home_Zone_Resident;4;Local;487
202002;JO;Bas-Uele;Inconnue;Home_Zone_Resident;Outside_Worker;Local;24232
202002;JO;Bas-Uele;Inconnue;Home_Zone_Resident;Home_Zone_Worker;Local;85431
202002;JO;Bas-Uele;Mongala;4;4;Local;471
202002;JO;Bas-Uele;Nord-Ubangi;Home_Zone_Resident;Home_Zone_Worker;Local;97
202002;JO;Bas-Uele;Tshopo;4;4;Local;523
202002;JO;Bas-Uele;Tshopo;Outside_Resident;Outside_Worker;Local;2240
202002;JO;Bas-Uele;Tshopo;Outside_Resident;Activity_Zone_Worker;Local;913
202002;JO;Bas-Uele;Tshopo;Outside_Resident;Home_Zone_Worker;Local;504
202002;JO;Bas-Uele;Tshopo;Activity_Zone_Resident;Activity_Zone_Worker;Local;2464
202002;JO;Bas-Uele;Tshopo;Home_Zone_Resident;Outside_Worker;Local;97
202002;JO;Bas-Uele;Tshopo;Home_Zone_Resident;Activity_Zone_Worker;Local;315
202002;JO;Bas-Uele;Tshopo;Home_Zone_Resident;Home_Zone_Worker;Local;1372
202002;JO;Equateur;Equateur;4;4;Local;179427
202002;JO;Equateur;Equateur;4;Outside_Worker;Local;23647
202002;JO;Equateur;Equateur;4;Home_Activity_Zone_Worker;Local;21566
202002;JO;Equateur;Equateur;Outside_Resident;4;Local;29291
202002;JO;Equateur;Equateur;Outside_Resident;Outside_Worker;Etranger;4389
202002;JO;Equateur;Equateur;Outside_Resident;Outside_Worker;Local;12159291
202002;JO;Equateur;Equateur;Outside_Resident;Home_Activity_Zone_Worker;Etranger;286
202002;JO;Equateur;Equateur;Outside_Resident;Home_Activity_Zone_Worker;Local;4715167
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;4;Local;6311
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Outside_Worker;Etranger;128
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Outside_Worker;Local;4552413
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;Etranger;301
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;Local;54738734
202002;JO;Equateur;Inconnue;4;4;Local;35103
202002;JO;Equateur;Inconnue;4;Outside_Worker;Local;4460
202002;JO;Equateur;Inconnue;Outside_Resident;4;Local;14372
202002;JO;Equateur;Inconnue;Outside_Resident;Outside_Worker;Etranger;3250
202002;JO;Equateur;Inconnue;Outside_Resident;Outside_Worker;Local;5639542
202002;JO;Equateur;Inconnue;Outside_Resident;Home_Zone_Worker;Etranger;53
202002;JO;Equateur;Inconnue;Outside_Resident;Home_Zone_Worker;Local;720941
202002;JO;Equateur;Inconnue;Home_Zone_Resident;4;Local;915
202002;JO;Equateur;Inconnue;Home_Zone_Resident;Outside_Worker;Etranger;187
202002;JO;Equateur;Inconnue;Home_Zone_Resident;Outside_Worker;Local;4018237
202002;JO;Equateur;Inconnue;Home_Zone_Resident;Home_Zone_Worker;Etranger;52
202002;JO;Equateur;Inconnue;Home_Zone_Resident;Home_Zone_Worker;Local;8147029
202002;JO;Equateur;Kinshasa;Outside_Resident;Outside_Worker;Local;23
202002;JO;Equateur;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;Local;901
202002;JO;Equateur;Mongala;Home_Zone_Resident;Home_Zone_Worker;Local;426
202002;JO;Equateur;Sud-Ubangi;4;4;Local;683
202002;JO;Equateur;Sud-Ubangi;Outside_Resident;Outside_Worker;Local;471
202002;JO;Equateur;Sud-Ubangi;Home_Zone_Resident;Outside_Worker;Local;445
202002;JO;Equateur;Sud-Ubangi;Home_Zone_Resident;Home_Zone_Worker;Local;891
202002;JO;Equateur;Tshuapa;Home_Zone_Resident;Home_Zone_Worker;Local;434
202002;JO;Haut-Katanga;Haut-Katanga;4;4;Etranger;507
202002;JO;Haut-Katanga;Haut-Katanga;4;4;Local;952756
202002;JO;Haut-Katanga;Haut-Katanga;4;Outside_Worker;Etranger;174
202002;JO;Haut-Katanga;Haut-Katanga;4;Outside_Worker;Local;23503
202002;JO;Haut-Katanga;Haut-Katanga;4;Home_Activity_Zone_Worker;Etranger;64
202002;JO;Haut-Katanga;Haut-Katanga;4;Home_Activity_Zone_Worker;Local;191845
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;4;Etranger;171
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;4;Local;225091
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;Etranger;20404
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;Local;8212894
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;Etranger;7528
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;Local;15432382
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;4;Etranger;310
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;4;Local;97918
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;Etranger;10614
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;Local;1011217
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;Etranger;96455
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;Local;147845193
202002;JO;Haut-Katanga;Haut-Lomami;4;4;Local;55
202002;JO;Haut-Katanga;Haut-Lomami;Outside_Resident;4;Local;33
202002;JO;Haut-Katanga;Haut-Lomami;Outside_Resident;Outside_Worker;Local;144
202002;JO;Haut-Katanga;Haut-Lomami;Outside_Resident;Home_Zone_Worker;Local;66
202002;JO;Haut-Katanga;Haut-Lomami;Home_Zone_Resident;Outside_Worker;Local;32
202002;JO;Haut-Katanga;Haut-Lomami;Home_Zone_Resident;Home_Zone_Worker;Local;268
202002;JO;Haut-Katanga;Inconnue;4;4;Etranger;254
202002;JO;Haut-Katanga;Inconnue;4;4;Local;37578
202002;JO;Haut-Katanga;Inconnue;4;Outside_Worker;Etranger;202
202002;JO;Haut-Katanga;Inconnue;4;Outside_Worker;Local;3859
202002;JO;Haut-Katanga;Inconnue;4;Home_Zone_Worker;Etranger;22
202002;JO;Haut-Katanga;Inconnue;4;Home_Zone_Worker;Local;4257
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;4;Etranger;32
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;4;Local;22076
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;Etranger;10853
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;Local;1787961
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;Etranger;1607
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;Local;1830103
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;4;Etranger;247
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;4;Local;9732
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;Etranger;9777
