Period;Day_type;NightZone;DayZone;Home_Category;Activity_Category;Age;Volume
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;18-24;21
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;25-34;190
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;<18;496
202002;JO;Equateur;Equateur;4;Outside_Worker;25-34;39
202002;JO;Equateur;Equateur;Outside_Resident;Outside_Worker;<18;87
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;<18;144
202002;JO;Haut-Katanga;Haut-Katanga;4;4;18-24;250
202002;JO;Haut-Katanga;Haut-Katanga;4;4;25-34;675
202002;JO;Haut-Katanga;Haut-Katanga;4;4;35-44;385
202002;JO;Haut-Katanga;Haut-Katanga;4;4;45-54;170
202002;JO;Haut-Katanga;Haut-Katanga;4;4;<18;1201
202002;JO;Haut-Katanga;Haut-Katanga;4;Home_Activity_Zone_Worker;<18;79
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;4;<18;110
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;18-24;4389
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;25-34;7799
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;35-44;4321
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;45-54;2377
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;55-64;1226
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;<18;12754
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;>65;567
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;18-24;8503
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;25-34;17229
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;35-44;10126
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;45-54;5736
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;55-64;3150
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;<18;22036
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;>65;1469
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;4;<18;104
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;18-24;312
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;25-34;674
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;35-44;338
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;45-54;55
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;<18;1073
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;18-24;70305
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;25-34;151866
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;35-44;92424
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;45-54;50810
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;55-64;26707
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;<18;184668
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;>65;12529
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;18-24;1406
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;25-34;2575
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;35-44;1380
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;45-54;794
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;55-64;240
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;<18;4594
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;18-24;902
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;25-34;1851
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;35-44;1058
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;45-54;565
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;55-64;135
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;<18;2280
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;18-24;186
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;25-34;631
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;35-44;271
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;<18;928
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;18-24;4087
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;25-34;8236
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;35-44;4775
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;45-54;2625
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;55-64;1424
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;<18;9050
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;>65;679
202002;JO;Haut-Katanga;Kinshasa;Outside_Resident;Home_Zone_Worker;<18;39
202002;JO;Haut-Katanga;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;25-34;23
202002;JO;Haut-Katanga;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;35-44;26
202002;JO;Haut-Katanga;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;<18;65
