Period;Day_type;NightZone;DayZone;Home_Category;Activity_Category;Social-professional groups;Volume
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Outside_Worker;NR;77
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Home_Activity_Zone_Worker;NR;77
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;1553
202002;JO;Equateur;Equateur;4;4;NR;78
202002;JO;Equateur;Equateur;4;Outside_Worker;NR;39
202002;JO;Equateur;Equateur;Outside_Resident;Outside_Worker;NR;501
202002;JO;Equateur;Equateur;Outside_Resident;Home_Activity_Zone_Worker;NR;39
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;814
202002;JO;Equateur;Inconnue;Outside_Resident;Outside_Worker;NR;76
202002;JO;Equateur;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;154
202002;JO;Haut-Katanga;Haut-Katanga;4;4;NR;3311
202002;JO;Haut-Katanga;Haut-Katanga;4;Home_Activity_Zone_Worker;NR;653
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;4;NR;426
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;NR;33487
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;NR;68309
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;4;NR;236
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;NR;3074
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NR;589433
202002;JO;Haut-Katanga;Inconnue;4;4;NR;115
202002;JO;Haut-Katanga;Inconnue;4;Home_Zone_Worker;NR;38
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;4;NR;38
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;NR;11355
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;NR;7220
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;4;NR;38
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;NR;2762
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NR;30935
202002;JO;Haut-Katanga;Kinshasa;Outside_Resident;Outside_Worker;NR;39
202002;JO;Haut-Katanga;Kinshasa;Outside_Resident;Home_Zone_Worker;NR;39
202002;JO;Haut-Katanga;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;NR;38
202002;JO;Haut-Katanga;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;NR;118
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Outside_Worker;NR;39
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Activity_Zone_Worker;NR;155
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Home_Zone_Worker;NR;155
