Period;Day_type;NightZone;DayZone;Home_Category;Activity_Category;Gender;Volume
202002;JO;Bas-Uele;Bas-Uele;Outside_Resident;Home_Activity_Zone_Worker;M;21
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;F;205
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;M;698
202002;JO;Bas-Uele;Bas-Uele;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NA;403
202002;JO;Equateur;Equateur;4;Outside_Worker;M;39
202002;JO;Equateur;Equateur;Outside_Resident;Outside_Worker;M;205
202002;JO;Equateur;Equateur;Outside_Resident;Outside_Worker;NA;60
202002;JO;Equateur;Equateur;Outside_Resident;Home_Activity_Zone_Worker;M;22
202002;JO;Equateur;Equateur;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;M;461
202002;JO;Equateur;Inconnue;Outside_Resident;Outside_Worker;M;21
202002;JO;Equateur;Inconnue;Home_Zone_Resident;Home_Zone_Worker;M;86
202002;JO;Haut-Katanga;Haut-Katanga;4;4;F;675
202002;JO;Haut-Katanga;Haut-Katanga;4;4;M;2050
202002;JO;Haut-Katanga;Haut-Katanga;4;4;NA;540
202002;JO;Haut-Katanga;Haut-Katanga;4;Home_Activity_Zone_Worker;M;345
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;4;M;191
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;4;NA;62
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;F;7288
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;M;14784
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Outside_Worker;NA;11393
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;F;16453
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;M;34348
202002;JO;Haut-Katanga;Haut-Katanga;Outside_Resident;Home_Activity_Zone_Worker;NA;17489
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;4;M;187
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;F;625
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;M;1329
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Outside_Worker;NA;941
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;F;140474
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;M;321429
202002;JO;Haut-Katanga;Haut-Katanga;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;NA;127511
202002;JO;Haut-Katanga;Inconnue;4;4;M;48
202002;JO;Haut-Katanga;Inconnue;4;Home_Zone_Worker;M;38
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;4;M;22
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;F;2362
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;M;4795
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Outside_Worker;NA;4182
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;F;1752
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;M;3540
202002;JO;Haut-Katanga;Inconnue;Outside_Resident;Home_Zone_Worker;NA;1908
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;4;F;32
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;F;633
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;M;1256
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Outside_Worker;NA;824
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;F;7735
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;M;15822
202002;JO;Haut-Katanga;Inconnue;Home_Zone_Resident;Home_Zone_Worker;NA;7360
202002;JO;Haut-Katanga;Kinshasa;Outside_Resident;Outside_Worker;M;39
202002;JO;Haut-Katanga;Kinshasa;Outside_Resident;Home_Zone_Worker;NA;39
202002;JO;Haut-Katanga;Kinshasa;Activity_Zone_Resident;Activity_Zone_Worker;M;21
202002;JO;Haut-Katanga;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;M;89
202002;JO;Haut-Katanga;Kinshasa;Home_Zone_Resident;Home_Zone_Worker;NA;21
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Activity_Zone_Worker;F;26
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Activity_Zone_Worker;M;77
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Activity_Zone_Worker;NA;43
202002;JO;Haut-Katanga;Lualaba;Outside_Resident;Home_Zone_Worker;M;27
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Activity_Zone_Worker;M;52
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Activity_Zone_Worker;NA;39
202002;JO;Haut-Katanga;Lualaba;Activity_Zone_Resident;Home_Zone_Worker;M;68
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;F;99
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;M;447
202002;JO;Haut-Katanga;Lualaba;Home_Zone_Resident;Home_Zone_Worker;NA;71
202002;JO;Haut-Lomami;Haut-Lomami;4;4;F;39
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;F;28
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;M;202
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Outside_Worker;NA;103
202002;JO;Haut-Lomami;Haut-Lomami;Outside_Resident;Home_Activity_Zone_Worker;M;61
202002;JO;Haut-Lomami;Haut-Lomami;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;F;269
202002;JO;Haut-Lomami;Haut-Lomami;Home_Activity_Zone_Resident;Home_Activity_Zone_Worker;M;692
202002;JO;Haut-Lomami;Inconnue;Outside_Resident;Outside_Worker;F;25
202002;JO;Haut-Lomami;Inconnue;Outside_Resident;Home_Zone_Worker;M;46
202002;JO;Haut-Lomami;Inconnue;Home_Zone_Resident;Home_Zone_Worker;M;88
202002;JO;Haut-Uele;Haut-Uele;Outside_Resident;Outside_Worker;M;25
202002;JO;Haut-Uele;Haut-Uele;Outside_Resident;Home_Activity_Zone_Worker;M;25
202002;JO;Haut-Uele;Inconnue;Home_Zone_Resident;Home_Zone_Worker;M;22
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;F;147
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;M;343
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Outside_Worker;NA;41
202002;JO;Inconnue;Bas-Uele;Outside_Resident;Activity_Zone_Worker;M;134
202002;JO;Inconnue;Bas-Uele;Activity_Zone_Resident;Activity_Zone_Worker;M;21
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;F;198
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;M;719
202002;JO;Inconnue;Equateur;Outside_Resident;Outside_Worker;NA;298
202002;JO;Inconnue;Equateur;Outside_Resident;Activity_Zone_Worker;M;130
