Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Area/Nationality;Type;Observation_Zone;Mode;Volume
202002;06:00:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;59
202002;06:00:00;JO;Haut-Katanga;Lualaba;3h;Outside_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;24
202002;06:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;34
202002;06:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;52
202002;06:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;59
202002;06:00:00;JO;Hors_Zone;Equateur;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;87
202002;06:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;113
202002;06:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;South Africa;Etranger;ZoneGlobale;All_modes;34
202002;06:00:00;JO;Hors_Zone;Ituri;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;716
202002;06:00:00;JO;Hors_Zone;Kasai-Central;1h;Outside_Resident;Outside_Worker;Kasa‹ Occidental;Local;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;Kasa‹-Oriental;Local;ZoneGlobale;All_modes;57
202002;06:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;509
202002;06:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;Cameroon;Etranger;ZoneGlobale;All_modes;52
202002;06:00:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;32
202002;06:00:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;170
202002;06:00:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;163
