Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Gender;Observation_Zone;Mode;Volume
202002;06:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;22
202002;06:00:00;JO;Hors_Zone;Kasai-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;26
202002;06:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;21
202002;06:00:00;JO;Hors_Zone;Lomami;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;54
202002;06:00:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;41
202002;06:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kongo-Central;Kinshasa;1h;Destination_Zone_Resident;Destination_Zone_Worker;F;ZoneGlobale;All_modes;30
202002;06:00:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;28
202002;06:00:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;F;ZoneGlobale;All_modes;32
202002;06:00:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;46
202002;06:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;24
202002;06:00:00;WE;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;F;ZoneGlobale;All_modes;29
202002;06:00:00;WE;Kinshasa;Kongo-Central;3h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;21
202002;06:00:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;30
202002;06:00:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;25
202002;06:00:00;WE;Nord-Kivu;Sud-Kivu;1h;Outside_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;29
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Destination_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;26
202002;06:30:00;JO;Haut-Lomami;Lualaba;1h;Study_Zone_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;29
202002;06:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;147
202002;06:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;94
202002;06:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;52
