Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-03-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;606
2020-03-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;83
2020-03-18;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-03-18;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;78
2020-03-18;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;606
2020-03-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;83
2020-03-18;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-03-18;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;78
2020-03-18;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-18;Bas-Uele;Ituri;1h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-03-18;Bas-Uele;Ituri;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-18;Bas-Uele;Ituri;3h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-03-18;Bas-Uele;Ituri;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-18;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;1643
2020-03-18;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;126
2020-03-18;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;272
2020-03-18;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;78
2020-03-18;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;348
2020-03-18;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;1730
2020-03-18;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;126
2020-03-18;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;272
2020-03-18;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;78
2020-03-18;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;348
2020-03-18;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;545
2020-03-18;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Origin_Zone_Worker;Primo;87
2020-03-18;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;387
2020-03-18;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Study_Zone_Worker;Primo;87
2020-03-18;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;87
2020-03-18;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Primo;545
2020-03-18;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Origin_Zone_Worker;Primo;87
2020-03-18;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Destination_Zone_Worker;Primo;387
2020-03-18;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Study_Zone_Worker;Primo;87
2020-03-18;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;87
2020-03-18;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Primo;4177
2020-03-18;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-18;Bas-Uele;Tshopo;1h;Outside_Resident;Origin_Zone_Worker;Primo;347
2020-03-18;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Primo;1911
2020-03-18;Bas-Uele;Tshopo;1h;Outside_Resident;Study_Zone_Worker;Primo;36
2020-03-18;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Primo;78
2020-03-18;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;812
2020-03-18;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;315
2020-03-18;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Outside_Worker;Primo;212
2020-03-18;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4615
2020-03-18;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;39
2020-03-18;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;22
2020-03-18;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Primo;4251
2020-03-18;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-18;Bas-Uele;Tshopo;3h;Outside_Resident;Origin_Zone_Worker;Primo;347
2020-03-18;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Primo;1990
2020-03-18;Bas-Uele;Tshopo;3h;Outside_Resident;Study_Zone_Worker;Primo;36
2020-03-18;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-03-18;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;773
2020-03-18;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;315
2020-03-18;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Outside_Worker;Primo;212
2020-03-18;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4615
2020-03-18;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;39
2020-03-18;Bas-Uele;Tshopo;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;27
2020-03-18;Equateur;Haut-Katanga;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;87
2020-03-18;Equateur;Haut-Katanga;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;87
2020-03-18;Equateur;Kinshasa;1h;Outside_Resident;Outside_Worker;Primo;12885
2020-03-18;Equateur;Kinshasa;1h;Outside_Resident;Origin_Zone_Worker;Primo;473
2020-03-18;Equateur;Kinshasa;1h;Outside_Resident;Destination_Zone_Worker;Primo;1214
2020-03-18;Equateur;Kinshasa;1h;Outside_Resident;Study_Zone_Worker;Primo;43
2020-03-18;Equateur;Kinshasa;1h;Origin_Zone_Resident;Outside_Worker;Primo;215
2020-03-18;Equateur;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;1020
2020-03-18;Equateur;Kinshasa;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;25
2020-03-18;Equateur;Kinshasa;1h;Destination_Zone_Resident;Outside_Worker;Primo;411
2020-03-18;Equateur;Kinshasa;1h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;91
2020-03-18;Equateur;Kinshasa;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;6441
2020-03-18;Equateur;Kinshasa;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;206
2020-03-18;Equateur;Kinshasa;3h;Outside_Resident;Outside_Worker;Primo;12915
2020-03-18;Equateur;Kinshasa;3h;Outside_Resident;Origin_Zone_Worker;Primo;473
2020-03-18;Equateur;Kinshasa;3h;Outside_Resident;Destination_Zone_Worker;Primo;1301
2020-03-18;Equateur;Kinshasa;3h;Outside_Resident;Study_Zone_Worker;Primo;43
2020-03-18;Equateur;Kinshasa;3h;Origin_Zone_Resident;Outside_Worker;Primo;210
2020-03-18;Equateur;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;1005
2020-03-18;Equateur;Kinshasa;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;34
2020-03-18;Equateur;Kinshasa;3h;Destination_Zone_Resident;Outside_Worker;Primo;411
2020-03-18;Equateur;Kinshasa;3h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;178
2020-03-18;Equateur;Kinshasa;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;6611
2020-03-18;Equateur;Kinshasa;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;206
2020-03-18;Equateur;Kongo-Central;1h;Outside_Resident;Outside_Worker;Primo;23
2020-03-18;Equateur;Kongo-Central;3h;Outside_Resident;Outside_Worker;Primo;23
2020-03-18;Equateur;Kwango;1h;Outside_Resident;Study_Zone_Worker;Primo;87
2020-03-18;Equateur;Kwango;3h;Outside_Resident;Study_Zone_Worker;Primo;87
2020-03-18;Equateur;Kwilu;1h;Outside_Resident;Outside_Worker;Primo;117
2020-03-18;Equateur;Kwilu;3h;Outside_Resident;Outside_Worker;Primo;117
2020-03-18;Equateur;Mai-Ndombe;1h;Outside_Resident;Outside_Worker;Primo;235
2020-03-18;Equateur;Mai-Ndombe;1h;Outside_Resident;Destination_Zone_Worker;Primo;117
2020-03-18;Equateur;Mai-Ndombe;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;235
2020-03-18;Equateur;Mai-Ndombe;3h;Outside_Resident;Outside_Worker;Primo;235
2020-03-18;Equateur;Mai-Ndombe;3h;Outside_Resident;Destination_Zone_Worker;Primo;117
2020-03-18;Equateur;Mai-Ndombe;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;235
2020-03-18;Equateur;Mongala;1h;Outside_Resident;Outside_Worker;Primo;6722
2020-03-18;Equateur;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;87
2020-03-18;Equateur;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;435
