Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Age;Volume
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;18-24;21
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;25-34;246
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;<18;550
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;18-24;21
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;25-34;190
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;<18;496
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;25-34;94
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;35-44;200
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;<18;97
202002;JO;Equateur;Equateur;Equateur;Jour;25-34;109
202002;JO;Equateur;Equateur;Equateur;Jour;<18;325
202002;JO;Equateur;Equateur;Equateur;Nuit;25-34;40
202002;JO;Equateur;Equateur;Equateur;Nuit;<18;228
202002;JO;Equateur;Hors_Zone;Equateur;Jour;<18;52
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;18-24;108
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;25-34;398
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;35-44;50
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;<18;661
202002;JO;Equateur;Hors_Zone;Hors_Zone;Nuit;<18;114
202002;JO;Equateur;Kinshasa;Hors_Zone;Jour;25-34;39
202002;JO;Equateur;Kinshasa;Hors_Zone;Jour;<18;29
202002;JO;Equateur;Kinshasa;Hors_Zone;Nuit;25-34;39
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;18-24;105216
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;25-34;227057
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;35-44;138331
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;45-54;76494
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;55-64;40420
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;<18;276472
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;>65;18981
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;18-24;74538
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;25-34;160337
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;35-44;97330
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;45-54;53515
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;55-64;28170
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;<18;194117
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;>65;13226
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;18-24;639
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;25-34;1251
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;35-44;699
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;45-54;289
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;55-64;26
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;<18;1900
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;18-24;696
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;25-34;1428
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;35-44;789
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;45-54;361
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;55-64;47
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;<18;2042
202002;JO;Haut-Katanga;Haut-Katanga;Kasai-Oriental;Jour;<18;26
202002;JO;Haut-Katanga;Haut-Katanga;Kasai-Oriental;Nuit;<18;52
202002;JO;Haut-Katanga;Haut-Katanga;Kinshasa;Jour;<18;21
202002;JO;Haut-Katanga;Haut-Katanga;Kinshasa;Nuit;<18;21
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;18-24;44954
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;25-34;92030
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;35-44;54686
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;45-54;31343
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;55-64;17348
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;<18;114581
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;>65;8261
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;18-24;9451
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;25-34;19142
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;35-44;11249
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;45-54;6351
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;55-64;3488
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;<18;24363
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;>65;1622
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;18-24;22825
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;25-34;39839
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;35-44;21900
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;45-54;12000
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;55-64;6221
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;<18;66483
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;>65;2944
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;18-24;5831
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;25-34;10420
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;35-44;5699
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;45-54;3182
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;55-64;1618
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;<18;17377
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;>65;753
202002;JO;Haut-Katanga;Hors_Zone;Kinshasa;Jour;<18;67
202002;JO;Haut-Katanga;Hors_Zone;Kinshasa;Nuit;<18;28
202002;JO;Haut-Katanga;Hors_Zone;Kongo-Central;Jour;<18;76
202002;JO;Haut-Katanga;Hors_Zone;Kongo-Central;Nuit;<18;39
202002;JO;Haut-Katanga;Hors_Zone;Lualaba;Jour;25-34;125
202002;JO;Haut-Katanga;Hors_Zone;Lualaba;Jour;<18;331
202002;JO;Haut-Katanga;Hors_Zone;Lualaba;Nuit;25-34;49
202002;JO;Haut-Katanga;Hors_Zone;Lualaba;Nuit;<18;113
202002;JO;Haut-Katanga;Hors_Zone;Tanganyika;Jour;<18;39
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Jour;25-34;45
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Jour;<18;372
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Nuit;25-34;24
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Nuit;<18;368
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Jour;18-24;23
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Jour;<18;49
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Nuit;18-24;23
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Nuit;<18;23
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Jour;25-34;52
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Jour;<18;224
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Nuit;25-34;61
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Nuit;<18;149
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;18-24;306
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;25-34;866
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;35-44;522
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;45-54;158
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;<18;1154
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;18-24;67
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;25-34;431
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;35-44;245
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;45-54;22
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;<18;679
202002;JO;Haut-Katanga;Tanganyika;Tanganyika;Jour;<18;23
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;18-24;264
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;25-34;555
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;35-44;72
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;<18;322
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;18-24;21
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;25-34;341
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;<18;89
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;18-24;53
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;25-34;151
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;35-44;26
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;<18;165
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Nuit;25-34;21
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;18-24;864
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;25-34;1325
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;35-44;698
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;45-54;340
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;55-64;79
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;<18;1875
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;18-24;23
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;25-34;81
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;<18;138
202002;JO;Haut-Lomami;Kasai;Kasai;Jour;55-64;38
202002;JO;Haut-Lomami;Lualaba;Lualaba;Jour;<18;50
202002;JO;Haut-Lomami;Lualaba;Lualaba;Nuit;25-34;39
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;18-24;73
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;25-34;200
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;<18;244
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Nuit;<18;39
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;18-24;490
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;25-34;899
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;35-44;451
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;45-54;67
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;<18;1129
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;18-24;97
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;25-34;192
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;35-44;50
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;<18;244
202002;JO;Ituri;Hors_Zone;Ituri;Jour;18-24;308
202002;JO;Ituri;Hors_Zone;Ituri;Jour;25-34;867
202002;JO;Ituri;Hors_Zone;Ituri;Jour;35-44;409
202002;JO;Ituri;Hors_Zone;Ituri;Jour;45-54;53
202002;JO;Ituri;Hors_Zone;Ituri;Jour;<18;810
202002;JO;Ituri;Hors_Zone;Ituri;Nuit;25-34;96
202002;JO;Ituri;Hors_Zone;Ituri;Nuit;<18;73
202002;JO;Ituri;Ituri;Hors_Zone;Jour;25-34;28
202002;JO;Ituri;Ituri;Hors_Zone;Jour;<18;25
202002;JO;Ituri;Ituri;Hors_Zone;Nuit;<18;41
202002;JO;Ituri;Ituri;Ituri;Jour;18-24;750
202002;JO;Ituri;Ituri;Ituri;Jour;25-34;1462
202002;JO;Ituri;Ituri;Ituri;Jour;35-44;793
202002;JO;Ituri;Ituri;Ituri;Jour;45-54;374
202002;JO;Ituri;Ituri;Ituri;Jour;<18;1672
202002;JO;Ituri;Ituri;Ituri;Nuit;18-24;622
202002;JO;Ituri;Ituri;Ituri;Nuit;25-34;1202
202002;JO;Ituri;Ituri;Ituri;Nuit;35-44;666
202002;JO;Ituri;Ituri;Ituri;Nuit;45-54;199
202002;JO;Ituri;Ituri;Ituri;Nuit;<18;1392
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;18-24;1033
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;25-34;1463
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;35-44;834
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;45-54;380
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;55-64;97
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;<18;2351
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;18-24;52
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;25-34;163
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;<18;315
202002;JO;Kasai;Hors_Zone;Kasai;Jour;18-24;180
202002;JO;Kasai;Hors_Zone;Kasai;Jour;25-34;280
202002;JO;Kasai;Hors_Zone;Kasai;Jour;35-44;78
202002;JO;Kasai;Hors_Zone;Kasai;Jour;<18;409
202002;JO;Kasai;Kasai;Hors_Zone;Jour;25-34;38
202002;JO;Kasai;Kasai;Kasai;Jour;18-24;131
202002;JO;Kasai;Kasai;Kasai;Jour;25-34;220
202002;JO;Kasai;Kasai;Kasai;Jour;35-44;65
202002;JO;Kasai;Kasai;Kasai;Jour;<18;327
202002;JO;Kasai;Kasai;Kasai;Nuit;18-24;23
202002;JO;Kasai;Kasai;Kasai;Nuit;25-34;72
202002;JO;Kasai;Kasai;Kasai;Nuit;<18;158
202002;JO;Kasai;Kasai-Central;Kasai-Central;Jour;<18;21
202002;JO;Kasai;Kasai-Central;Kasai-Central;Nuit;<18;22
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;18-24;1324
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;25-34;1725
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;35-44;856
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;45-54;499
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;55-64;143
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;<18;2534
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;18-24;89
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;25-34;233
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;<18;418
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;18-24;256
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;25-34;397
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;35-44;102
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;<18;645
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Nuit;18-24;44
