Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Social-professional groups;Volume
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;NR;1669
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;NR;1553
202002;JO;Bas-Uele;Hors_Zone;Bas-Uele;Jour;NR;311
202002;JO;Bas-Uele;Hors_Zone;Bas-Uele;Nuit;NR;77
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;NR;892
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Nuit;NR;77
202002;JO;Equateur;Equateur;Equateur;Jour;NR;1162
202002;JO;Equateur;Equateur;Equateur;Nuit;NR;968
202002;JO;Equateur;Hors_Zone;Equateur;Jour;NR;309
202002;JO;Equateur;Hors_Zone;Equateur;Nuit;NR;39
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;NR;1907
202002;JO;Equateur;Hors_Zone;Hors_Zone;Nuit;NR;578
202002;JO;Equateur;Kinshasa;Hors_Zone;Jour;NR;78
202002;JO;Equateur;Kinshasa;Hors_Zone;Nuit;NR;39
202002;JO;Equateur;Kinshasa;Kinshasa;Jour;NR;116
202002;JO;Equateur;Kinshasa;Kinshasa;Nuit;NR;78
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;NR;883129
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;NR;621356
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;NR;5339
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;NR;5845
202002;JO;Haut-Katanga;Haut-Katanga;Kasai-Oriental;Jour;NR;118
202002;JO;Haut-Katanga;Haut-Katanga;Kasai-Oriental;Nuit;NR;118
202002;JO;Haut-Katanga;Haut-Katanga;Kinshasa;Jour;NR;39
202002;JO;Haut-Katanga;Haut-Katanga;Kinshasa;Nuit;NR;39
202002;JO;Haut-Katanga;Haut-Katanga;Lualaba;Jour;NR;78
202002;JO;Haut-Katanga;Haut-Katanga;Lualaba;Nuit;NR;116
202002;JO;Haut-Katanga;Haut-Lomami;Haut-Lomami;Jour;NR;76
202002;JO;Haut-Katanga;Haut-Lomami;Haut-Lomami;Nuit;NR;76
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Jour;NR;363299
202002;JO;Haut-Katanga;Hors_Zone;Haut-Katanga;Nuit;NR;75731
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Jour;NR;172271
202002;JO;Haut-Katanga;Hors_Zone;Hors_Zone;Nuit;NR;44928
202002;JO;Haut-Katanga;Hors_Zone;Kinshasa;Jour;NR;114
202002;JO;Haut-Katanga;Hors_Zone;Kinshasa;Nuit;NR;38
202002;JO;Haut-Katanga;Hors_Zone;Kongo-Central;Jour;NR;115
202002;JO;Haut-Katanga;Hors_Zone;Kongo-Central;Nuit;NR;78
202002;JO;Haut-Katanga;Hors_Zone;Lualaba;Jour;NR;1159
202002;JO;Haut-Katanga;Hors_Zone;Lualaba;Nuit;NR;503
202002;JO;Haut-Katanga;Hors_Zone;Tanganyika;Jour;NR;116
202002;JO;Haut-Katanga;Kasai-Oriental;Kasai-Oriental;Jour;NR;115
202002;JO;Haut-Katanga;Kasai-Oriental;Kasai-Oriental;Nuit;NR;115
202002;JO;Haut-Katanga;Kinshasa;Haut-Katanga;Jour;NR;37
202002;JO;Haut-Katanga;Kinshasa;Haut-Katanga;Nuit;NR;37
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Jour;NR;965
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Nuit;NR;966
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Jour;NR;157
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Nuit;NR;157
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Jour;NR;887
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Nuit;NR;772
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;NR;3553
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;NR;2222
202002;JO;Haut-Katanga;Tanganyika;Tanganyika;Jour;NR;75
202002;JO;Haut-Katanga;Tanganyika;Tanganyika;Nuit;NR;37
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;NR;2021
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;NR;1392
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;NR;1091
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Nuit;NR;426
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;NR;5617
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;NR;807
202002;JO;Haut-Lomami;Kasai;Kasai;Jour;NR;77
202002;JO;Haut-Lomami;Lualaba;Lualaba;Jour;NR;193
202002;JO;Haut-Lomami;Lualaba;Lualaba;Nuit;NR;39
202002;JO;Haut-Uele;Haut-Uele;Haut-Uele;Nuit;NR;38
202002;JO;Haut-Uele;Hors_Zone;Haut-Uele;Jour;NR;270
202002;JO;Haut-Uele;Hors_Zone;Haut-Uele;Nuit;NR;76
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;NR;1126
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Nuit;NR;153
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;NR;3580
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;NR;1165
202002;JO;Ituri;Hors_Zone;Ituri;Jour;NR;3080
202002;JO;Ituri;Hors_Zone;Ituri;Nuit;NR;504
202002;JO;Ituri;Ituri;Hors_Zone;Jour;NR;307
202002;JO;Ituri;Ituri;Hors_Zone;Nuit;NR;312
202002;JO;Ituri;Ituri;Ituri;Jour;NR;5412
202002;JO;Ituri;Ituri;Ituri;Nuit;NR;4479
202002;JO;Ituri;Nord-Kivu;Nord-Kivu;Jour;NR;78
202002;JO;Ituri;Nord-Kivu;Nord-Kivu;Nuit;NR;78
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;NR;6716
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;NR;1121
202002;JO;Kasai;Hors_Zone;Kasai;Jour;NR;1676
202002;JO;Kasai;Hors_Zone;Kasai;Nuit;NR;232
202002;JO;Kasai;Kasai;Hors_Zone;Jour;NR;195
202002;JO;Kasai;Kasai;Hors_Zone;Nuit;NR;197
202002;JO;Kasai;Kasai;Kasai;Jour;NR;1352
202002;JO;Kasai;Kasai;Kasai;Nuit;NR;808
202002;JO;Kasai;Kasai-Central;Kasai-Central;Jour;NR;155
202002;JO;Kasai;Kasai-Central;Kasai-Central;Nuit;NR;154
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;NR;7467
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;NR;1362
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;NR;2252
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Nuit;NR;696
202002;JO;Kasai-Central;Hors_Zone;Kasai-Oriental;Jour;NR;39
202002;JO;Kasai-Central;Kasai;Kasai;Jour;NR;115
202002;JO;Kasai-Central;Kasai;Kasai;Nuit;NR;76
202002;JO;Kasai-Central;Kasai-Central;Hors_Zone;Jour;NR;76
202002;JO;Kasai-Central;Kasai-Central;Hors_Zone;Nuit;NR;153
202002;JO;Kasai-Central;Kasai-Central;Kasai;Jour;NR;39
202002;JO;Kasai-Central;Kasai-Central;Kasai;Nuit;NR;39
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Jour;NR;3550
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Nuit;NR;2529
202002;JO;Kasai-Central;Kasai-Central;Kinshasa;Jour;NR;38
202002;JO;Kasai-Central;Kasai-Central;Kinshasa;Nuit;NR;38
202002;JO;Kasai-Central;Kasai-Oriental;Kasai-Central;Jour;NR;39
202002;JO;Kasai-Central;Kasai-Oriental;Kasai-Oriental;Jour;NR;39
202002;JO;Kasai-Central;Kinshasa;Kinshasa;Jour;NR;311
202002;JO;Kasai-Central;Kinshasa;Kinshasa;Nuit;NR;233
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Jour;NR;29312
202002;JO;Kasai-Oriental;Hors_Zone;Hors_Zone;Nuit;NR;3819
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Jour;NR;6123
202002;JO;Kasai-Oriental;Hors_Zone;Kasai-Oriental;Nuit;NR;1315
202002;JO;Kasai-Oriental;Kasai-Central;Kasai-Central;Jour;NR;152
202002;JO;Kasai-Oriental;Kasai-Central;Kasai-Central;Nuit;NR;115
202002;JO;Kasai-Oriental;Kasai-Oriental;Hors_Zone;Jour;NR;77
202002;JO;Kasai-Oriental;Kasai-Oriental;Hors_Zone;Nuit;NR;77
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Central;Jour;NR;38
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Central;Nuit;NR;38
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Jour;NR;10821
202002;JO;Kasai-Oriental;Kasai-Oriental;Kasai-Oriental;Nuit;NR;9915
202002;JO;Kasai-Oriental;Kinshasa;Kinshasa;Jour;NR;310
202002;JO;Kasai-Oriental;Kinshasa;Kinshasa;Nuit;NR;233
202002;JO;Kasai-Oriental;Lomami;Kasai-Oriental;Jour;NR;37
202002;JO;Kasai-Oriental;Lomami;Lomami;Jour;NR;233
202002;JO;Kasai-Oriental;Lomami;Lomami;Nuit;NR;79
202002;JO;Kinshasa;Haut-Katanga;Haut-Katanga;Jour;NR;733
202002;JO;Kinshasa;Haut-Katanga;Haut-Katanga;Nuit;NR;459
202002;JO;Kinshasa;Haut-Katanga;Kinshasa;Jour;NR;77
202002;JO;Kinshasa;Haut-Katanga;Kinshasa;Nuit;NR;77
202002;JO;Kinshasa;Hors_Zone;Haut-Katanga;Jour;NR;77
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Jour;NR;192926
202002;JO;Kinshasa;Hors_Zone;Hors_Zone;Nuit;NR;57613
202002;JO;Kinshasa;Hors_Zone;Kasai-Oriental;Jour;NR;39
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Jour;NR;92887
