Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Gender;Volume
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;F;219
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;M;777
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Jour;NA;445
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;F;205
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;M;699
202002;JO;Bas-Uele;Bas-Uele;Bas-Uele;Nuit;NA;406
202002;JO;Bas-Uele;Hors_Zone;Bas-Uele;Jour;M;173
202002;JO;Bas-Uele;Hors_Zone;Bas-Uele;Nuit;M;22
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;F;192
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;M;396
202002;JO;Bas-Uele;Hors_Zone;Hors_Zone;Jour;NA;69
202002;JO;Equateur;Equateur;Equateur;Jour;F;24
202002;JO;Equateur;Equateur;Equateur;Jour;M;659
202002;JO;Equateur;Equateur;Equateur;Jour;NA;26
202002;JO;Equateur;Equateur;Equateur;Nuit;M;550
202002;JO;Equateur;Hors_Zone;Equateur;Jour;M;152
202002;JO;Equateur;Hors_Zone;Equateur;Nuit;M;22
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;F;299
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;M;1008
202002;JO;Equateur;Hors_Zone;Hors_Zone;Jour;NA;470
202002;JO;Equateur;Hors_Zone;Hors_Zone;Nuit;M;283
202002;JO;Equateur;Hors_Zone;Hors_Zone;Nuit;NA;61
202002;JO;Equateur;Kinshasa;Hors_Zone;Jour;M;39
202002;JO;Equateur;Kinshasa;Hors_Zone;Jour;NA;29
202002;JO;Equateur;Kinshasa;Hors_Zone;Nuit;M;39
202002;JO;Equateur;Kinshasa;Kinshasa;Jour;M;22
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;F;211150
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;M;478271
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Jour;NA;193688
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;F;148438
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;M;337650
202002;JO;Haut-Katanga;Haut-Katanga;Haut-Katanga;Nuit;NA;135248
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;F;1205
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;M;2379
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Jour;NA;1703
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;F;1374
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;M;2623
202002;JO;Haut-Katanga;Haut-Katanga;Hors_Zone;Nuit;NA;1829
202002;JO;Haut-Katanga;Haut-Katanga;Kasai-Oriental;Jour;M;105
202002;JO;Haut-Katanga;Haut-Katanga;Kasai-Oriental;Nuit;M;105
