Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-03-16;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;5588049
2020-03-16;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;6431
2020-03-16;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;84765
2020-03-16;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;5364
2020-03-16;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;375180
2020-03-16;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;119624
2020-03-16;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;185180
2020-03-16;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;9418
2020-03-16;06:00:00;Local;Tshuapa;Hors_Zone;ZoneGlobale;9418
2020-03-16;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;256320
2020-03-16;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;192157
2020-03-16;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;52860
2020-03-16;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;49323
2020-03-16;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;44522
2020-03-16;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;12997
2020-03-16;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;73620
2020-03-16;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;122303
2020-03-16;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;271790
2020-03-16;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;250911
2020-03-16;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;70803
2020-03-16;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;41758
2020-03-16;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;1478
2020-03-16;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;122438
2020-03-16;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;281236
2020-03-16;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;122438
2020-03-16;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;15529
2020-03-16;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;395647
2020-03-16;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;806
2020-03-16;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;23459
2020-03-16;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;37673
2020-03-16;06:00:00;Local;Mongala;Mongala;ZoneGlobale;538395
2020-03-16;06:00:00;Local;Tshopo;Mongala;ZoneGlobale;1192
2020-03-16;06:00:00;Local;Hors_Zone;Sankuru;ZoneGlobale;1915
2020-03-16;06:00:00;Local;Sankuru;Sankuru;ZoneGlobale;35224
2020-03-16;06:00:00;Local;Hors_Zone;Haut-Katanga;ZoneGlobale;56311
2020-03-16;06:00:00;Local;Haut-Katanga;Haut-Katanga;ZoneGlobale;7391340
2020-03-16;06:00:00;Local;Lualaba;Haut-Katanga;ZoneGlobale;28770
2020-03-16;06:00:00;Local;Kinshasa;Haut-Katanga;ZoneGlobale;2685
2020-03-16;06:00:00;Local;Haut-Lomami;Haut-Katanga;ZoneGlobale;537
2020-03-16;06:00:00;Local;Hors_Zone;Lualaba;ZoneGlobale;25534
2020-03-16;06:00:00;Local;Haut-Katanga;Lualaba;ZoneGlobale;33600
2020-03-16;06:00:00;Local;Lualaba;Lualaba;ZoneGlobale;2222681
2020-03-16;06:00:00;Local;Kinshasa;Lualaba;ZoneGlobale;268
2020-03-16;06:00:00;Local;Nord-Kivu;Lualaba;ZoneGlobale;357
2020-03-16;06:00:00;Local;Hors_Zone;Kinshasa;ZoneGlobale;83431
2020-03-16;06:00:00;Local;Haut-Katanga;Kinshasa;ZoneGlobale;983
2020-03-16;06:00:00;Local;Kinshasa;Kinshasa;ZoneGlobale;4499520
2020-03-16;06:00:00;Local;Sud-Kivu;Kinshasa;ZoneGlobale;570
2020-03-16;06:00:00;Local;Kongo-Central;Kinshasa;ZoneGlobale;7642
2020-03-16;06:00:00;Local;Kasai-Oriental;Kinshasa;ZoneGlobale;1149
2020-03-16;06:00:00;Local;Nord-Kivu;Kinshasa;ZoneGlobale;839
2020-03-16;06:00:00;Local;Hors_Zone;Nord-Ubangi;ZoneGlobale;37673
2020-03-16;06:00:00;Local;Nord-Ubangi;Nord-Ubangi;ZoneGlobale;320706
2020-03-16;06:00:00;Local;Sud-Ubangi;Nord-Ubangi;ZoneGlobale;9418
2020-03-16;06:00:00;Local;Tshuapa;Tshuapa;ZoneGlobale;189559
2020-03-16;06:00:00;Local;Hors_Zone;Sud-Kivu;ZoneGlobale;62180
2020-03-16;06:00:00;Local;Sud-Kivu;Sud-Kivu;ZoneGlobale;5724379
2020-03-16;06:00:00;Local;Nord-Kivu;Sud-Kivu;ZoneGlobale;26698
2020-03-16;06:00:00;Local;Hors_Zone;Tshopo;ZoneGlobale;100078
