Loc partitionnement;NE_ID;Nom PoI
1018;ZoneObservation18;DGC barre
1024;ZoneObservation24;Arret Socimat
1027;ZoneObservation27;Binza Arret Maternite
1032;ZoneObservation32;Arret Centre hospitalier de Kintambo
1034;ZoneObservation34;Arret Station Macampagne (ML)
1038;ZoneObservation38;Lemba Terminus
1040;ZoneObservation40;Pont Matete
1042;ZoneObservation42;Rond Point Ngaba
1044;ZoneObservation44;Arret moulard
1045;ZoneObservation45;ASSANEF
1046;ZoneObservation46;Huillerie
1047;ZoneObservation47;Avenue du Commerce et Kasa vubu
1048;ZoneObservation48;Croissement Kianza et Universite
1049;ZoneObservation49;Arret Bakayaou
1053;ZoneObservation53;Place Commercial de limete(7e rue)
1054;ZoneObservation54;Marché de la Liberté
1055;ZoneObservation55;Place sainte therese
1056;ZoneObservation56;Quartier 1 (croissement Boulevard Lumumba)
1057;ZoneObservation57;SONAS
1063;ZoneObservation63;HOTEL DU GOUVERNEMENT
1070;ZoneObservation70;Shoprite
1071;ZoneObservation71;UPN Djelo
1072;ZoneObservation72;Peloustore KIVU
1074;ZoneObservation74;Arret Station Centre Superieur
1075;ZoneObservation75;La voix du fleuve
1077;ZoneObservation77;Carrigres
1081;ZoneObservation81;Paroisse Saint Eloi
1086;ZoneObservation86;ONATRA
1088;ZoneObservation88;Rond Point Forescom
1100;ZoneObservation100;Poste
1111;ZoneObservation111;Immeuble CNSS
1113;ZoneObservation113;BATETELA
1115;ZoneObservation115;Ministere des affaires etrangeres
1129;ZoneObservation129;TASOK
1133;ZoneObservation133;Cimetiere Kintambo
1134;ZoneObservation134;Benseke Nouvelle Cite
1135;ZoneObservation135;Kinkole
1136;ZoneObservation136;Kinsuka
1137;ZoneObservation137;Cimetiere sans fil
1138;ZoneObservation138;Cimetiere Kimbanseke
1139;ZoneObservation139;Cimetiere Ndjili Brasserie
1140;ZoneObservation140;Cimetiere Mingadi
1141;ZoneObservation141;Necropole entre ciel et terre
1145;ZoneObservation145;Le premier Shopping Mall
1146;ZoneObservation146;INA et ORCA
1148;ZoneObservation148;Hall de la Gombe
1150;ZoneObservation150;Shark Club
1152;ZoneObservation152;Parc Mont Ngaliema
1155;ZoneObservation155;Immeuble Cosmos
1158;ZoneObservation158;Mbudi Nature
1159;ZoneObservation159;Arret Stade Velodrome
1160;ZoneObservation160;FIKIN
1162;ZoneObservation162;Eglise Notre Dame de Fatima
1163;ZoneObservation163;Paroisse Sacre Coeur
1164;ZoneObservation164;Eglise des assemblées de dieu
1165;ZoneObservation165;Mosqué Centrale Usoke
1166;ZoneObservation166;Eglise locale Cbfc Itaga
1167;ZoneObservation167;Eglise Saint Paul
1169;ZoneObservation169;Mosqué Bon Marche
1170;ZoneObservation170;Mosqué Kingabwa
1172;ZoneObservation172;le pain de vie
1173;ZoneObservation173;Centre Evangelique Emmanuel Langa-langa
1174;ZoneObservation174;Paroisse saint François-Xavier
1175;ZoneObservation175;Centre d'Evangelisation Peniel CEPE
1177;ZoneObservation177;Ejcev Nouvelle Alliance Bima
1178;ZoneObservation178;Eglise Catholique Divin Maître
1184;ZoneObservation184;Ministere combat spirituel
1188;ZoneObservation188;Eglise Kimbanguiste
1189;ZoneObservation189;Paroisse Notre-Dame d'Afrique
1191;ZoneObservation191;eglise protestante de lemba
1198;ZoneObservation198;Eglise Francophone Ecole de Tyrannus
1201;ZoneObservation201;Baruti Tabernacle
1202;ZoneObservation202;CE TRINITE
1206;ZoneObservation206;ECC/CEC/BUMBU
1210;ZoneObservation210;Hopital general de Kintambo
1211;ZoneObservation211;Hopital Biamba Marie Mutombo
1212;ZoneObservation212;Hotel Memling
1214;ZoneObservation214;Place de la gare centrale
1216;ZoneObservation216;Hotel Sultani
1217;ZoneObservation217;Hotel du Fleuve
1219;ZoneObservation219;Marché central
1221;ZoneObservation221;Marché Mangobo
1222;ZoneObservation222;Maché De Kadi
1224;ZoneObservation224;Marché de Mbanza Lemba
1226;ZoneObservation226;Marché BAYAKA
1228;ZoneObservation228;Marché selembao
1229;ZoneObservation229;Wenze Muselu/Gambela
1230;ZoneObservation230;Marché Matete
1231;ZoneObservation231;Marché Delvaux
1232;ZoneObservation232;Marché Mbika
1233;ZoneObservation233;Matadi Kibala
1243;ZoneObservation243;Dvin
1250;ZoneObservation250;Le cerlce gourmand
1256;ZoneObservation256;ROND POINT SAFRICAS
1257;ZoneObservation257;O'Poeta
1259;ZoneObservation259;INBTP
1265;ZoneObservation265;Gabriella
1268;ZoneObservation268;Food Market Macampagne
1270;ZoneObservation270;Salle de fete de la Rotonde Binza
1271;ZoneObservation271;Mimoza plaza
1300;ZoneObservation300;Aéroport Ndolo
1301;ZoneObservation301;Aéroport Ndjili
